Num_Acc,an,mois,jour,hrmn,com,agg,int,col,lum,atm,catr,circ,prof,lartpc,larrout,surf,infra,situ,grav,sexe,age,trajet,equipement,obs,obsm,choc,manv,typevehicules,manoeuvehicules,numVehicules
200700011705,2007,2,6,10:00,69389,2,2,3,5,1,4,2,1,0,0,1,0,1,1,1,19,2,2,0,2,3,1,33,2,1.0
201400025858,2014,9,4,14:35,35238,2,2,6,1,1,4,-1,2,0,0,1,6,1,1,1,30,5,8,0,1,1,1,0,0,
200700055496,2007,9,2,13:50,22215,1,1,7,1,1,4,2,1,0,0,1,0,1,1,1,12,5,4,0,2,0,9,2,1,1.0
201500053211,2015,8,2,16:30,75113,2,1,6,1,1,4,1,1,0,30,1,0,1,1,1,22,4,2,0,2,8,13,33,17,1.0
200500067928,2005,10,1,16:30,75015,2,2,6,1,1,4,1,1,0,30,1,0,1,1,1,13,5,0,0,1,1,5,0,0,
202100041114,2021,4,5,19:05,29019,2,1,3,1,1,4,1,1,0,-1,1,0,1,1,1,60,5,2,0,2,1,1,10,26,1.0
201400042155,2014,6,6,17:05,93029,2,1,2,1,1,4,1,1,0,30,1,0,1,1,1,19,0,1,0,0,4,1,7,1,1.0
200800008293,2008,2,7,11:45,33063,2,1,6,1,1,4,-1,1,0,0,1,0,4,1,1,31,0,2,0,1,1,1,0,0,
202100036300,2021,6,6,15:21,79163,2,3,3,1,1,3,2,1,0,0,1,5,1,1,1,16,5,0,0,0,0,16,2,21,1.0
201200044916,2012,1,2,10:53,93048,2,2,7,1,1,4,2,1,0,0,2,5,1,1,1,56,1,9,0,0,0,1,33,1,1.0
202000039660,2020,9,5,06:25,75119,2,1,6,5,1,4,2,2,0,-1,2,0,4,1,1,47,1,2,0,1,1,25,0,0,
201900040058,2019,5,2,16:00,75112,2,1,6,1,1,4,2,1,0,0,1,0,1,1,1,32,1,2,0,1,1,1,0,0,
200900020244,2009,9,2,19:20,75116,2,1,6,1,1,4,2,-1,0,0,1,0,1,1,1,26,5,2,0,1,1,1,0,0,
201400016847,2014,9,2,23:15,14118,2,1,7,5,1,4,-1,1,0,70,1,6,1,1,1,23,5,9,0,0,0,1,0,0,
201900029039,2019,5,1,16:45,45075,2,1,1,1,1,4,2,1,0,0,1,0,5,1,1,49,1,2,0,2,1,1,1,1,1.0
200800040038,2008,7,2,20:40,60159,2,1,6,1,1,4,2,1,0,105,1,0,1,1,1,16,5,9,0,0,4,2,7,17,1.0
201800027952,2018,2,2,11:35,51454,2,1,6,1,7,4,2,1,0,120,1,0,4,1,1,40,4,2,0,1,1,1,0,0,
